"eta","ssp","period","median","p10","p90","label"
0.5,"ssp245","historical",113.6,113,114.2,"113.6 [113-114.2]"
0.5,"ssp245","near",116.8,115,118.6,"116.8 [115-118.6]"
0.5,"ssp245","mid",117.8,117.3,118.4,"117.8 [117.3-118.4]"
0.5,"ssp245","far",118.3,116.8,119.9,"118.3 [116.8-119.9]"
0.5,"ssp585","historical",113,112.8,113.2,"113 [112.8-113.2]"
0.5,"ssp585","near",115.2,114.2,116.1,"115.2 [114.2-116.1]"
0.5,"ssp585","mid",118,117.4,118.6,"118 [117.4-118.6]"
0.5,"ssp585","far",120.6,120.2,120.9,"120.6 [120.2-120.9]"
0.6,"ssp245","historical",101,100.6,101.3,"101 [100.6-101.3]"
0.6,"ssp245","near",108.7,106.5,110.9,"108.7 [106.5-110.9]"
0.6,"ssp245","mid",111.3,108.8,113.9,"111.3 [108.8-113.9]"
0.6,"ssp245","far",114,111.8,116.2,"114 [111.8-116.2]"
0.6,"ssp585","historical",100.2,99.2,101.2,"100.2 [99.2-101.2]"
0.6,"ssp585","near",106,102.8,109.2,"106 [102.8-109.2]"
0.6,"ssp585","mid",113.2,111.3,115,"113.2 [111.3-115]"
0.6,"ssp585","far",118.2,117.5,118.9,"118.2 [117.5-118.9]"
0.7,"ssp245","historical",73,71.7,74.3,"73 [71.7-74.3]"
0.7,"ssp245","near",86.7,82.8,90.6,"86.7 [82.8-90.6]"
0.7,"ssp245","mid",93,86.2,99.7,"93 [86.2-99.7]"
0.7,"ssp245","far",101.8,98.8,104.8,"101.8 [98.8-104.8]"
0.7,"ssp585","historical",72.3,71.6,73.1,"72.3 [71.6-73.1]"
0.7,"ssp585","near",84.9,80,89.8,"84.9 [80-89.8]"
0.7,"ssp585","mid",98.3,94.6,102.1,"98.3 [94.6-102.1]"
0.7,"ssp585","far",110.3,107.2,113.4,"110.3 [107.2-113.4]"
0.8,"ssp245","historical",34.8,25.4,44.2,"34.8 [25.4-44.2]"
0.8,"ssp245","near",48.4,35,61.8,"48.4 [35-61.8]"
0.8,"ssp245","mid",64.6,53.7,75.4,"64.6 [53.7-75.4]"
0.8,"ssp245","far",74.5,65.3,83.7,"74.5 [65.3-83.7]"
0.8,"ssp585","historical",33.7,25.1,42.3,"33.7 [25.1-42.3]"
0.8,"ssp585","near",53.5,46.3,60.7,"53.5 [46.3-60.7]"
0.8,"ssp585","mid",66.1,58.6,73.6,"66.1 [58.6-73.6]"
0.8,"ssp585","far",91.8,83.6,100,"91.8 [83.6-100]"
